Subject,CourseCode,CourseNbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Instructor
CSE,485,30574,Computer Sci Capstone Proj I,F,3:05 PM,3:55 PM,TEMPE,190,BYAC110,Meuth
CSE,486,21570,Computer Sci Capstone Proj II,T,10:45 AM,11:35 AM,TEMPE,132,BYENGM1-09,Meuth
CSE,486,21570,Computer Sci Capstone Proj II,F,10:45 AM,11:35 AM,TEMPE,126,-,Meuth
CSE,486,20539,Computer Sci Capstone Proj II,F,10:45 AM,11:35 AM,TEMPE,130,BYAC270,Meuth
CSE,486,20539,Computer Sci Capstone Proj II,F,4:30 PM,5:45 PM,TEMPE,150,INTRT,Meuth
CSE,486,21389,Computer Sci Capstone Proj II,F,1:30 PM,2:20 PM,TEMPE,69,BYAC150,Meuth
CSE,486,21389,Computer Sci Capstone Proj II,T,1:30 PM,2:20 PM,TEMPE,50,INTRT,Meuth
CSE,486,21569,Computer Sci Capstone Proj II,F,3:00 PM,3:50 PM,TEMPE,50,BYENG210,Meuth
CSE,486,21569,Computer Sci Capstone Proj II,F,4:10 PM,5:00 PM,TEMPE,42,INTRT,Meuth
CSE,486,18024,Computer Sci Capstone Proj II,F,4:30 PM,5:45 PM,TEMPE,150,BYAC150,Meuth
CSE,486,18024,Computer Sci Capstone Proj II,F,3:05 PM,3:55 PM,TEMPE,128,INTRT,Meuth
CSE,486,11284,Computer Sci Capstone Proj II,F,10:45 AM,11:35 AM,TEMPE,80,BYAC150,Meuth
CSE,486,11284,Computer Sci Capstone Proj II,W,10:45 AM,11:35 AM,TEMPE,150,INTRT,Meuth
FSE,100,27635,Introduction to Engineering,F ,10:45 AM,11:35 AM,TEMPE,80,PSH153,Chen
FSE,100,83218,Introduction to Engineering,Th ,4:30 PM,5:45 PM,TEMPE,150,BYAC270,Meuth
FSE,150,82455,Grand Challenges for Engrg,F ,1:30 PM,2:20 PM,TEMPE,132,INTRT,Trowbridge
FSE,181,79345,Tech; Social; & Sustain System,M ,1:30 PM,2:20 PM,TEMPE,60,BYAC270,Allenby
FSE,194,90190,Topic: Exploring Leadership Potential,F ,3:00 PM,3:50 PM,TEMPE,150,INTRT,Silva
FSE,301,87876,Entrepreneur & Value Creation,M W F ,2:00 PM,2:50 PM,TEMPE,128,BYAC270,Troness
FSE,394,85759,Topic: Academic Success and Professional Development, ,12:00 AM,12:00 AM,TEMPE,80,INTRT,Anderson-Rowland
FSE,502,92378,Strategic Enterprise Innovatin,M ,6:00 PM,8:45 PM,TEMPE,150,BYAC270,Trappen
IEE,210,71307,Intro Industrial Engineering,T Th ,9:00 AM,10:15 AM,TEMPE,132,INTRT,Clough
